Category,Promo_Type,Recommendation,Promo_Events,Baseline_Units,Actual_Units,Uplift_Units,Actual_Revenue,Promo_Cost,Incremental_Profit_After_Promo_Cost,Median_ROI,Avg_Uplift_Pct
Snacks,Price Discount,Targeted repeat,17,17789,38817,21028,153558.3,19963.4299,3648.3701,0.1699,1.168929411764706
Beverages,Price Discount,Targeted repeat,7,8896,17697,8801,59405.84,7348.0680999999995,1592.8719,0.207,0.9626142857142856
Snacks,Multi-buy,Targeted repeat,7,7314,13750,6436,53923.18,5893.7837,934.5463,0.1236,0.9085428571428571
Snacks,Multi-buy,Repeat,1,971,2232,1261,8526.24,888.6492,683.0408,0.7686,1.2987
Snacks,Display + Discount,Targeted repeat,3,3600,8785,5185,35214.7,6431.3746,585.5754,0.0873,1.4413
Pantry,Price Discount,Targeted repeat,4,2913,5690,2777,23346.57,3206.6768,429.3932,0.11005,0.958475
Beverages,Multi-buy,Targeted repeat,2,2303,5368,3065,17494.8,2396.9527,368.84729999999996,0.1365,1.2991000000000001
Personal Care,Price Discount,Targeted repeat,3,1989,4226,2237,20495.46,3191.3482,175.4118,0.0325,1.0595333333333332
Beverages,Display + Discount,Targeted repeat,1,1118,2235,1117,8046.0,1511.8902,51.5098,0.0341,0.9991
Pantry,Multi-buy,Targeted repeat,1,799,1276,477,7809.12,848.6918,0.8282,0.001,0.597
Snacks,Catalogue Feature,Discontinue,1,374,442,68,3306.16,1052.2032,-1356.8432,-1.2895,0.1818
Household,Bundle,Adjust depth/mechanic,17,3873,6197,2324,72942.5,13717.5498,-16815.6498,-1.2403,0.6515176470588235
Personal Care,Bundle,Adjust depth/mechanic,23,8605,14345,5740,72794.72,15867.619999999999,-17076.5,-1.0844,0.6340434782608696
Pantry,Bundle,Adjust depth/mechanic,19,11616,19155,7539,89083.41,17852.5911,-19036.1811,-0.9801,0.6539631578947368
Snacks,Bundle,Adjust depth/mechanic,24,13850,24671,10821,107156.31,23081.6772,-25689.2172,-1.07685,0.6988791666666666
Pantry,Multi-buy,Adjust depth/mechanic,50,26484,50245,23761,206982.38,41021.4876,-29025.2076,-0.6449,0.883592
Beverages,Bundle,Adjust depth/mechanic,43,31907,57725,25818,185885.51,41889.2818,-47104.4718,-1.0855,0.7738767441860465
Personal Care,Catalogue Feature,Adjust depth/mechanic,40,16603,28949,12346,150284.91999999998,51105.9304,-48382.9104,-0.915,0.7543225
Personal Care,Multi-buy,Adjust depth/mechanic,69,27190,55353,28163,274335.93,65136.786,-50960.956,-0.7563,1.0147826086956522
Pantry,Catalogue Feature,Adjust depth/mechanic,49,28944,51390,22446,228403.49,67841.9729,-60963.7829,-0.8723,0.793665306122449
Personal Care,Display + Discount,Adjust depth/mechanic,60,22721,48598,25877,254221.62,100299.2358,-72774.1158,-0.76955,1.13784
Pantry,Price Discount,Adjust depth/mechanic,98,61048,130119,69071,561872.25,120363.8051,-75463.7551,-0.5801000000000001,1.1416673469387755
Household,Multi-buy,Adjust depth/mechanic,58,14979,29371,14392,356739.25,73482.8538,-75704.6038,-1.0219,0.9488275862068964
Household,Catalogue Feature,Adjust depth/mechanic,47,12499,22108,9609,266611.55,71475.45360000001,-78441.1036,-1.0686,0.7910872340425532
Personal Care,Price Discount,Adjust depth/mechanic,98,39927,84652,44725,412471.38,107446.6696,-81721.6896,-0.7204999999999999,1.0906908163265305
Beverages,Multi-buy,Adjust depth/mechanic,90,62663,124855,62192,454606.97,95291.688,-83515.868,-0.90035,0.9325355555555556
Snacks,Multi-buy,Adjust depth/mechanic,95,63113,127791,64678,535127.34,113531.8453,-94372.30529999999,-0.8201,0.961718947368421
Pantry,Display + Discount,Adjust depth/mechanic,72,45119,104631,59512,414528.77,142494.8673,-99815.6973,-0.7059,1.300886111111111
Household,Display + Discount,Adjust depth/mechanic,65,17625,36838,19213,453371.5,133758.2074,-109945.5074,-0.7376,1.116553846153846
Snacks,Catalogue Feature,Adjust depth/mechanic,81,52058,101856,49798,414068.31,122961.6261,-114544.3661,-0.8934,0.8625703703703704
Beverages,Catalogue Feature,Adjust depth/mechanic,89,60476,106264,45788,409048.5,120710.921,-117937.171,-0.9604,0.7312943820224719
Beverages,Display + Discount,Adjust depth/mechanic,87,56899,132274,75375,466776.31,166098.7602,-120348.1502,-0.7761,1.2902793103448276
Household,Price Discount,Adjust depth/mechanic,113,31275,61850,30575,731090.15,146460.2347,-130606.1847,-0.8398,1.0023407079646018
Snacks,Display + Discount,Adjust depth/mechanic,96,55492,129927,74435,556322.6,195132.3615,-150285.4115,-0.87225,1.25304375
Beverages,Price Discount,Adjust depth/mechanic,190,131599,273964,142365,995244.64,222445.6273,-172430.6873,-0.7734000000000001,1.0434194736842104
Snacks,Price Discount,Adjust depth/mechanic,190,113669,249016,135347,1051302.39,239281.7354,-178698.8954,-0.8092,1.093463157894737
