Week_Start,Week_Number,Campaign_ID,Product,Category,Brand,Region,Account,Store_Count,Promo_Flag,Promo_Type,Baseline_Units,Actual_Units,Uplift_Units,Uplift_Pct,Regular_Price,Promo_Price,Discount_Pct,Unit_Cost,Selling_Price,Baseline_Revenue,Actual_Revenue,Incremental_Revenue_From_Uplift,Revenue_Impact_vs_Baseline,Baseline_Gross_Profit,Gross_Profit_Before_Promo_Cost,Incremental_Gross_Profit_Before_Cost,Promo_Cost,Incremental_Profit_After_Promo_Cost,Promo_ROI,Baseline_Gross_Margin_Pct,Actual_Gross_Margin_Pct,Margin_Impact_pp,Rate_of_Sale_Units_per_Store_per_Week,Cannibalisation_Rate_Estimate,Cannibalised_Units_Estimate,Cannibalisation_Risk,Recommendation
2025-01-06,1,No Promo,Sparkling Water 1L,Beverages,FreshFizz,NSW,Woolworths,114,0,No Promo,1366,1290,-76,-0.0556,3.2,3.2,0.0,1.45,3.2,4371.2,4128.0,0.0,-243.2,2390.5,2257.5,-133.0,0.0,-133.0,,0.5469,0.5469,0.0,11.3158,0.0,0.0,N/A,Baseline
2025-01-06,1,No Promo,Sparkling Water 1L,Beverages,FreshFizz,NSW,Coles,109,0,No Promo,1261,1231,-30,-0.0238,3.2,3.2,0.0,1.45,3.2,4035.2,3939.2,0.0,-96.0,2206.75,2154.25,-52.5,0.0,-52.5,,0.5469,0.5469,0.0,11.2936,0.0,0.0,N/A,Baseline
2025-01-06,1,No Promo,Sparkling Water 1L,Beverages,FreshFizz,NSW,Independent,71,0,No Promo,638,555,-83,-0.1301,3.2,3.2,0.0,1.45,3.2,2041.6,1776.0,0.0,-265.6,1116.5,971.25,-145.25,0.0,-145.25,,0.5469,0.5469,0.0,7.8169,0.0,0.0,N/A,Baseline
2025-01-06,1,PR-1000,Sparkling Water 1L,Beverages,FreshFizz,VIC,Woolworths,109,1,Price Discount,1225,2827,1602,1.3078,3.2,2.56,0.2,1.45,2.56,3920.0,7237.12,4101.12,3317.12,2143.75,3137.97,994.22,1141.6277,-147.4077,-0.1291,0.5469,0.4336,-11.3281,25.9358,0.1167,187.0316,Medium,Adjust depth/mechanic
2025-01-06,1,PR-1001,Sparkling Water 1L,Beverages,FreshFizz,VIC,Coles,97,1,Price Discount,1114,2896,1782,1.5996,3.2,2.08,0.35,1.45,2.08,3564.8,6023.68,3706.56,2458.88,1949.5,1824.48,-125.02,2474.846,-2599.866,-1.0505,0.5469,0.3029,-24.399,29.8557,0.1485,264.5827,Medium,Adjust depth/mechanic
2025-01-06,1,No Promo,Sparkling Water 1L,Beverages,FreshFizz,VIC,Independent,58,0,No Promo,593,593,0,0.0,3.2,3.2,0.0,1.45,3.2,1897.6,1897.6,0.0,0.0,1037.75,1037.75,0.0,0.0,0.0,,0.5469,0.5469,0.0,10.2241,0.0,0.0,N/A,Baseline
2025-01-06,1,No Promo,Sparkling Water 1L,Beverages,FreshFizz,QLD,Woolworths,90,0,No Promo,1108,1262,154,0.139,3.2,3.2,0.0,1.45,3.2,3545.6,4038.4,492.8,492.8,1939.0,2208.5,269.5,0.0,269.5,,0.5469,0.5469,0.0,14.0222,0.0,0.0,N/A,Baseline
2025-01-06,1,No Promo,Sparkling Water 1L,Beverages,FreshFizz,QLD,Coles,80,0,No Promo,994,988,-6,-0.006,3.2,3.2,0.0,1.45,3.2,3180.8,3161.6,0.0,-19.2,1739.5,1729.0,-10.5,0.0,-10.5,,0.5469,0.5469,0.0,12.35,0.0,0.0,N/A,Baseline
2025-01-06,1,No Promo,Sparkling Water 1L,Beverages,FreshFizz,QLD,Independent,50,0,No Promo,463,432,-31,-0.067,3.2,3.2,0.0,1.45,3.2,1481.6,1382.4,0.0,-99.2,810.25,756.0,-54.25,0.0,-54.25,,0.5469,0.5469,0.0,8.64,0.0,0.0,N/A,Baseline
2025-01-06,1,No Promo,Sparkling Water 1L,Beverages,FreshFizz,WA,Woolworths,69,0,No Promo,717,693,-24,-0.0335,3.2,3.2,0.0,1.45,3.2,2294.4,2217.6,0.0,-76.8,1254.75,1212.75,-42.0,0.0,-42.0,,0.5469,0.5469,0.0,10.0435,0.0,0.0,N/A,Baseline
2025-01-06,1,No Promo,Sparkling Water 1L,Beverages,FreshFizz,WA,Coles,62,0,No Promo,801,793,-8,-0.01,3.2,3.2,0.0,1.45,3.2,2563.2,2537.6,0.0,-25.6,1401.75,1387.75,-14.0,0.0,-14.0,,0.5469,0.5469,0.0,12.7903,0.0,0.0,N/A,Baseline
2025-01-06,1,PR-1002,Sparkling Water 1L,Beverages,FreshFizz,WA,Independent,40,1,Price Discount,350,765,415,1.1857,3.2,2.56,0.2,1.45,2.56,1120.0,1958.4,1062.4,838.4,612.5,849.15,236.65,701.6738,-465.0238,-0.6627,0.5469,0.4336,-11.3281,19.125,0.1395,57.9049,Medium,Adjust depth/mechanic
2025-01-06,1,No Promo,Sparkling Water 1L,Beverages,FreshFizz,SA,Woolworths,54,0,No Promo,598,622,24,0.0401,3.2,3.2,0.0,1.45,3.2,1913.6,1990.4,76.8,76.8,1046.5,1088.5,42.0,0.0,42.0,,0.5469,0.5469,0.0,11.5185,0.0,0.0,N/A,Baseline
2025-01-06,1,PR-1003,Sparkling Water 1L,Beverages,FreshFizz,SA,Coles,47,1,Price Discount,636,1014,378,0.5943,3.2,2.88,0.1,1.45,2.88,2035.2,2920.32,1088.64,885.12,1113.0,1450.02,337.02,575.5187,-238.4987,-0.4144,0.5469,0.4965,-5.0347,21.5745,0.1213,45.8595,Medium,Adjust depth/mechanic
2025-01-06,1,No Promo,Sparkling Water 1L,Beverages,FreshFizz,SA,Independent,34,0,No Promo,298,286,-12,-0.0403,3.2,3.2,0.0,1.45,3.2,953.6,915.2,0.0,-38.4,521.5,500.5,-21.0,0.0,-21.0,,0.5469,0.5469,0.0,8.4118,0.0,0.0,N/A,Baseline
2025-01-06,1,PR-1004,Cola 1.25L,Beverages,FizzCo,NSW,Woolworths,119,1,Bundle,1595,3627,2032,1.274,4.0,2.8,0.3,1.8,2.8,6380.0,10155.6,5689.6,3775.6,3509.0,3627.0,118.0,2822.7107,-2704.7107,-0.9582,0.55,0.3571,-19.2857,30.479,0.1663,337.946,Medium,Adjust depth/mechanic
2025-01-06,1,PR-1005,Cola 1.25L,Beverages,FizzCo,NSW,Coles,108,1,Price Discount,1546,3652,2106,1.3622,4.0,3.2,0.2,1.8,3.2,6184.0,11686.4,6739.2,5502.4,3401.2,5112.8,1711.6,2139.5336,-427.9336,-0.2,0.55,0.4375,-11.25,33.8148,0.0818,172.1981,Low,Adjust depth/mechanic
2025-01-06,1,No Promo,Cola 1.25L,Beverages,FizzCo,NSW,Independent,70,0,No Promo,793,787,-6,-0.0076,4.0,4.0,0.0,1.8,4.0,3172.0,3148.0,0.0,-24.0,1744.6,1731.4,-13.2,0.0,-13.2,,0.55,0.55,0.0,11.2429,0.0,0.0,N/A,Baseline
2025-01-06,1,No Promo,Cola 1.25L,Beverages,FizzCo,VIC,Woolworths,92,0,No Promo,1634,1632,-2,-0.0012,4.0,4.0,0.0,1.8,4.0,6536.0,6528.0,0.0,-8.0,3594.8,3590.4,-4.4,0.0,-4.4,,0.55,0.55,0.0,17.7391,0.0,0.0,N/A,Baseline
2025-01-06,1,PR-1006,Cola 1.25L,Beverages,FizzCo,VIC,Coles,95,1,Catalogue Feature,1219,2220,1001,0.8212,4.0,3.2,0.2,1.8,3.2,4876.0,7104.0,3203.2,2228.0,2681.8,3108.0,426.2,1448.8,-1022.6,-0.7058,0.55,0.4375,-11.25,23.3684,0.1243,124.4666,Medium,Adjust depth/mechanic
2025-01-06,1,No Promo,Cola 1.25L,Beverages,FizzCo,VIC,Independent,62,0,No Promo,716,675,-41,-0.0573,4.0,4.0,0.0,1.8,4.0,2864.0,2700.0,0.0,-164.0,1575.2,1485.0,-90.2,0.0,-90.2,,0.55,0.55,0.0,10.8871,0.0,0.0,N/A,Baseline
2025-01-06,1,No Promo,Cola 1.25L,Beverages,FizzCo,QLD,Woolworths,82,0,No Promo,1191,1108,-83,-0.0697,4.0,4.0,0.0,1.8,4.0,4764.0,4432.0,0.0,-332.0,2620.2,2437.6,-182.6,0.0,-182.6,,0.55,0.55,0.0,13.5122,0.0,0.0,N/A,Baseline
2025-01-06,1,PR-1007,Cola 1.25L,Beverages,FizzCo,QLD,Coles,80,1,Price Discount,1214,3156,1942,1.5997,4.0,3.0,0.25,1.8,3.0,4856.0,9468.0,5826.0,4612.0,2670.8,3787.2,1116.4,2146.1179,-1029.7179,-0.4798,0.55,0.4,-15.0,39.45,0.1201,233.2957,Medium,Adjust depth/mechanic
2025-01-06,1,PR-1008,Cola 1.25L,Beverages,FizzCo,QLD,Independent,52,1,Catalogue Feature,682,1180,498,0.7302,4.0,3.2,0.2,1.8,3.2,2728.0,3776.0,1593.6,1048.0,1500.4,1652.0,151.6,1342.2732,-1190.6732,-0.8871,0.55,0.4375,-11.25,22.6923,0.1154,57.4504,Medium,Adjust depth/mechanic
2025-01-06,1,No Promo,Cola 1.25L,Beverages,FizzCo,WA,Woolworths,63,0,No Promo,1017,1044,27,0.0265,4.0,4.0,0.0,1.8,4.0,4068.0,4176.0,108.0,108.0,2237.4,2296.8,59.4,0.0,59.4,,0.55,0.55,0.0,16.5714,0.0,0.0,N/A,Baseline
2025-01-06,1,No Promo,Cola 1.25L,Beverages,FizzCo,WA,Coles,67,0,No Promo,928,964,36,0.0388,4.0,4.0,0.0,1.8,4.0,3712.0,3856.0,144.0,144.0,2041.6,2120.8,79.2,0.0,79.2,,0.55,0.55,0.0,14.3881,0.0,0.0,N/A,Baseline
2025-01-06,1,PR-1009,Cola 1.25L,Beverages,FizzCo,WA,Independent,39,1,Price Discount,457,1188,731,1.5996,4.0,2.8,0.3,1.8,2.8,1828.0,3326.4,2046.8,1498.4,1005.4,1188.0,182.6,1158.3176,-975.7176,-0.8424,0.55,0.3571,-19.2857,30.4615,0.1634,119.4138,Medium,Adjust depth/mechanic
2025-01-06,1,PR-1010,Cola 1.25L,Beverages,FizzCo,SA,Woolworths,55,1,Catalogue Feature,806,1427,621,0.7705,4.0,3.4,0.15,1.8,3.4,3224.0,4851.8,2111.4,1627.8,1773.2,2283.2,510.0,1216.5347,-706.5347,-0.5808,0.55,0.4706,-7.9412,25.9455,0.1082,67.1811,Medium,Adjust depth/mechanic
2025-01-06,1,No Promo,Cola 1.25L,Beverages,FizzCo,SA,Coles,49,0,No Promo,751,756,5,0.0067,4.0,4.0,0.0,1.8,4.0,3004.0,3024.0,20.0,20.0,1652.2,1663.2,11.0,0.0,11.0,,0.55,0.55,0.0,15.4286,0.0,0.0,N/A,Baseline
