Week_Start,Week_Number,Month,Quarter,Campaign_ID,Product,Category,Brand,Region,Account,Store_Count,Promo_Flag,Promo_Type,Promo_Depth_Band,Promo_Objective,Retailer_Support,Baseline_Units,Actual_Units,Uplift_Units,Uplift_Pct,Regular_Price,Promo_Price,Discount_Pct,Unit_Cost,Selling_Price,Baseline_Revenue,Actual_Revenue,Incremental_Revenue_From_Uplift,Revenue_Impact_vs_Baseline,Baseline_Gross_Profit,Gross_Profit_Before_Promo_Cost,Incremental_Gross_Profit_Before_Cost,Promo_Cost,Incremental_Profit_After_Promo_Cost,Promo_ROI,Baseline_Gross_Margin_Pct,Actual_Gross_Margin_Pct,Margin_Impact_pp,Rate_of_Sale_Units_per_Store_per_Week,Cannibalisation_Rate_Estimate,Cannibalised_Units_Estimate,Cannibalisation_Risk,Recommendation,Sales_Action,Buyer_Message
2025-01-06,1,Jan,Q1,No Promo,Sparkling Water 1L,Beverages,FreshFizz,NSW,Woolworths,109,0,No Promo,No Promo,Baseline trading,None,1317,1310,-7,-0.0053,3.2,3.2,0.0,1.05,3.2,4214.4,4192.0,0.0,-22.4,2831.55,2816.5,-15.05,0.0,-15.05,,0.6719,0.6719,0.0,12.0183,0.0,0.0,N/A,Baseline,Monitor baseline performance,Non-promotional baseline trading period
2025-01-06,1,Jan,Q1,PR-1000,Sparkling Water 1L,Beverages,FreshFizz,NSW,Coles,108,1,Price Discount,20-25%,Drive volume,Shelf price ticket,1171,2297,1126,0.9616,3.2,2.56,0.2,1.05,2.56,3747.2,5880.32,2882.56,2133.12,2517.65,3468.47,950.82,530.6368,420.1832,0.7918,0.6719,0.5898,-8.2031,21.2685,0.1112,125.2351,Medium,Repeat,Rebook mechanic in next promotional cycle,Strong ROI and profitable uplift with manageable risk
2025-01-06,1,Jan,Q1,No Promo,Sparkling Water 1L,Beverages,FreshFizz,NSW,Independent,71,0,No Promo,No Promo,Baseline trading,None,687,635,-52,-0.0757,3.2,3.2,0.0,1.05,3.2,2198.4,2032.0,0.0,-166.4,1477.05,1365.25,-111.8,0.0,-111.8,,0.6719,0.6719,0.0,8.9437,0.0,0.0,N/A,Baseline,Monitor baseline performance,Non-promotional baseline trading period
2025-01-06,1,Jan,Q1,No Promo,Sparkling Water 1L,Beverages,FreshFizz,VIC,Woolworths,100,0,No Promo,No Promo,Baseline trading,None,1159,1189,30,0.0259,3.2,3.2,0.0,1.05,3.2,3708.8,3804.8,96.0,96.0,2491.85,2556.35,64.5,0.0,64.5,,0.6719,0.6719,0.0,11.89,0.0,0.0,N/A,Baseline,Monitor baseline performance,Non-promotional baseline trading period
2025-01-06,1,Jan,Q1,No Promo,Sparkling Water 1L,Beverages,FreshFizz,VIC,Coles,95,0,No Promo,No Promo,Baseline trading,None,1074,993,-81,-0.0754,3.2,3.2,0.0,1.05,3.2,3436.8,3177.6,0.0,-259.2,2309.1,2134.95,-174.15,0.0,-174.15,,0.6719,0.6719,0.0,10.4526,0.0,0.0,N/A,Baseline,Monitor baseline performance,Non-promotional baseline trading period
2025-01-06,1,Jan,Q1,No Promo,Sparkling Water 1L,Beverages,FreshFizz,VIC,Independent,58,0,No Promo,No Promo,Baseline trading,None,563,550,-13,-0.0231,3.2,3.2,0.0,1.05,3.2,1801.6,1760.0,0.0,-41.6,1210.45,1182.5,-27.95,0.0,-27.95,,0.6719,0.6719,0.0,9.4828,0.0,0.0,N/A,Baseline,Monitor baseline performance,Non-promotional baseline trading period
2025-01-06,1,Jan,Q1,No Promo,Sparkling Water 1L,Beverages,FreshFizz,QLD,Woolworths,89,0,No Promo,No Promo,Baseline trading,None,1018,1046,28,0.0275,3.2,3.2,0.0,1.05,3.2,3257.6,3347.2,89.6,89.6,2188.7,2248.9,60.2,0.0,60.2,,0.6719,0.6719,0.0,11.7528,0.0,0.0,N/A,Baseline,Monitor baseline performance,Non-promotional baseline trading period
2025-01-06,1,Jan,Q1,No Promo,Sparkling Water 1L,Beverages,FreshFizz,QLD,Coles,77,0,No Promo,No Promo,Baseline trading,None,885,891,6,0.0068,3.2,3.2,0.0,1.05,3.2,2832.0,2851.2,19.2,19.2,1902.75,1915.65,12.9,0.0,12.9,,0.6719,0.6719,0.0,11.5714,0.0,0.0,N/A,Baseline,Monitor baseline performance,Non-promotional baseline trading period
2025-01-06,1,Jan,Q1,No Promo,Sparkling Water 1L,Beverages,FreshFizz,QLD,Independent,55,0,No Promo,No Promo,Baseline trading,None,502,501,-1,-0.002,3.2,3.2,0.0,1.05,3.2,1606.4,1603.2,0.0,-3.2,1079.3,1077.15,-2.15,0.0,-2.15,,0.6719,0.6719,0.0,9.1091,0.0,0.0,N/A,Baseline,Monitor baseline performance,Non-promotional baseline trading period
2025-01-06,1,Jan,Q1,No Promo,Sparkling Water 1L,Beverages,FreshFizz,WA,Woolworths,66,0,No Promo,No Promo,Baseline trading,None,805,826,21,0.0261,3.2,3.2,0.0,1.05,3.2,2576.0,2643.2,67.2,67.2,1730.75,1775.9,45.15,0.0,45.15,,0.6719,0.6719,0.0,12.5152,0.0,0.0,N/A,Baseline,Monitor baseline performance,Non-promotional baseline trading period
